model_name,max_input_length,max_output_length,batch_size,budget_tested,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_runtime_hours,total_cost,pipeline_stages,device_type,pp,mem_per_gpu_gb,placement,layer_mapping,tp_per_stage,num_gpus,total_layers,is_best,status
qwen2.5-72b,8192,1024,32,109.60,2533.00,2251.56,281.44,109.60,12.019128,0.11,12.02,8,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2,g6e.24xlarge#3,g6e.24xlarge#4,g6e.24xlarge#5,g6e.24xlarge#6,g6e.24xlarge#7",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.24xlarge#0:4}, PP_2:{g6e.24xlarge#1:4}, PP_3:{g6e.24xlarge#2:4}, PP_4:{g6e.24xlarge#3:4}, PP_5:{g6e.24xlarge#4:4}, PP_6:{g6e.24xlarge#5:4}, PP_7:{g6e.24xlarge#6:4}, PP_8:{g6e.24xlarge#7:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,909.19,808.17,101.02,40.96,12.514226,0.31,12.51,2,p4de.24xlarge#0,2,"{PP_1:80.0, PP_2:80.0}","{PP_1:{p4de.24xlarge#0:2}, PP_2:{p4de.24xlarge#0:2}}","{PP_1:1-40, PP_2:41-80}","{PP_1:2, PP_2:2}",4,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.54,1420.61,1262.76,157.85,65.54,12.815350,0.20,12.82,5,"p4d.24xlarge#0,p4d.24xlarge#1",5,"{PP_1:40.0, PP_2:40.0, PP_3:40.0, PP_4:40.0, PP_5:40.0}","{PP_1:{p4d.24xlarge#0:2}, PP_2:{p4d.24xlarge#0:2}, PP_3:{p4d.24xlarge#0:2}, PP_4:{p4d.24xlarge#0:2}, PP_5:{p4d.24xlarge#1:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,874.56,777.39,97.17,40.96,13.009727,0.32,13.01,8,p4de.24xlarge#0,8,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0, PP_5:80.0, PP_6:80.0, PP_7:80.0, PP_8:80.0}","{PP_1:{p4de.24xlarge#0:1}, PP_2:{p4de.24xlarge#0:1}, PP_3:{p4de.24xlarge#0:1}, PP_4:{p4de.24xlarge#0:1}, PP_5:{p4de.24xlarge#0:1}, PP_6:{p4de.24xlarge#0:1}, PP_7:{p4de.24xlarge#0:1}, PP_8:{p4de.24xlarge#0:1}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:1, PP_2:1, PP_3:1, PP_4:1, PP_5:1, PP_6:1, PP_7:1, PP_8:1}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,81.92,1653.07,1469.39,183.67,81.92,13.765649,0.17,13.77,8,"p4de.24xlarge#0,p4de.24xlarge#1",8,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0, PP_5:80.0, PP_6:80.0, PP_7:80.0, PP_8:80.0}","{PP_1:{p4de.24xlarge#0:2}, PP_2:{p4de.24xlarge#0:2}, PP_3:{p4de.24xlarge#0:2}, PP_4:{p4de.24xlarge#0:2}, PP_5:{p4de.24xlarge#1:2}, PP_6:{p4de.24xlarge#1:2}, PP_7:{p4de.24xlarge#1:2}, PP_8:{p4de.24xlarge#1:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,32.56,637.17,566.38,70.80,32.56,14.194662,0.44,14.19,4,"g5.24xlarge#0,g5.24xlarge#1,g5.24xlarge#2,g5.24xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.24xlarge#0:4}, PP_2:{g5.24xlarge#1:4}, PP_3:{g5.24xlarge#2:4}, PP_4:{g5.24xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,32.58,637.17,566.38,70.80,32.58,14.203381,0.44,14.20,4,"g5.48xlarge#0,g5.48xlarge#1",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.48xlarge#0:4}, PP_2:{g5.48xlarge#0:4}, PP_3:{g5.48xlarge#1:4}, PP_4:{g5.48xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,751.57,668.07,83.51,40.96,15.138591,0.37,15.14,5,p4de.24xlarge#0,5,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0, PP_5:80.0}","{PP_1:{p4de.24xlarge#0:1}, PP_2:{p4de.24xlarge#0:1}, PP_3:{p4de.24xlarge#0:1}, PP_4:{p4de.24xlarge#0:1}, PP_5:{p4de.24xlarge#0:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:1, PP_2:1, PP_3:1, PP_4:1, PP_5:1}",5,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,45.36,810.95,720.84,90.11,45.36,15.537400,0.34,15.54,8,"g5.12xlarge#0,g5.12xlarge#1,g5.12xlarge#2,g5.12xlarge#3,g5.12xlarge#4,g5.12xlarge#5,g5.12xlarge#6,g5.12xlarge#7",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g5.12xlarge#0:4}, PP_2:{g5.12xlarge#1:4}, PP_3:{g5.12xlarge#2:4}, PP_4:{g5.12xlarge#3:4}, PP_5:{g5.12xlarge#4:4}, PP_6:{g5.12xlarge#5:4}, PP_7:{g5.12xlarge#6:4}, PP_8:{g5.12xlarge#7:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,81.92,1420.61,1262.76,157.85,81.92,16.018209,0.20,16.02,5,"p4de.24xlarge#0,p4de.24xlarge#1",5,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0, PP_5:80.0}","{PP_1:{p4de.24xlarge#0:2}, PP_2:{p4de.24xlarge#0:2}, PP_3:{p4de.24xlarge#0:2}, PP_4:{p4de.24xlarge#0:2}, PP_5:{p4de.24xlarge#1:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,219.12,3772.38,3353.23,419.15,219.12,16.134798,0.07,16.13,8,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2,g6e.48xlarge#3,g6e.48xlarge#4,g6e.48xlarge#5,g6e.48xlarge#6,g6e.48xlarge#7",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.48xlarge#0:8}, PP_2:{g6e.48xlarge#1:8}, PP_3:{g6e.48xlarge#2:8}, PP_4:{g6e.48xlarge#3:8}, PP_5:{g6e.48xlarge#4:8}, PP_6:{g6e.48xlarge#5:8}, PP_7:{g6e.48xlarge#6:8}, PP_8:{g6e.48xlarge#7:8}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8, PP_5:8, PP_6:8, PP_7:8, PP_8:8}",64,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.70,696.91,619.47,77.43,40.70,16.222470,0.40,16.22,5,"g5.24xlarge#0,g5.24xlarge#1,g5.24xlarge#2,g5.24xlarge#3,g5.24xlarge#4",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.24xlarge#0:4}, PP_2:{g5.24xlarge#1:4}, PP_3:{g5.24xlarge#2:4}, PP_4:{g5.24xlarge#3:4}, PP_5:{g5.24xlarge#4:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.16,1108.34,985.19,123.15,65.16,16.330717,0.25,16.33,4,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2,g5.48xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.48xlarge#0:8}, PP_2:{g5.48xlarge#1:8}, PP_3:{g5.48xlarge#2:8}, PP_4:{g5.48xlarge#3:8}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,81.45,1212.25,1077.55,134.69,81.45,18.663676,0.23,18.66,5,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2,g5.48xlarge#3,g5.48xlarge#4",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.48xlarge#0:8}, PP_2:{g5.48xlarge#1:8}, PP_3:{g5.48xlarge#2:8}, PP_4:{g5.48xlarge#3:8}, PP_5:{g5.48xlarge#4:8}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8, PP_5:8}",40,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,48.87,696.91,619.47,77.43,48.87,19.478922,0.40,19.48,5,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.48xlarge#0:4}, PP_2:{g5.48xlarge#0:4}, PP_3:{g5.48xlarge#1:4}, PP_4:{g5.48xlarge#1:4}, PP_5:{g5.48xlarge#2:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,62.42,832.71,740.18,92.52,62.42,20.822364,0.33,20.82,2,"p3dn.24xlarge#0,p3dn.24xlarge#1",2,"{PP_1:32.0, PP_2:32.0}","{PP_1:{p3dn.24xlarge#0:8}, PP_2:{p3dn.24xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.12,810.95,720.84,90.11,65.12,22.305897,0.34,22.31,8,"g5.24xlarge#0,g5.24xlarge#1,g5.24xlarge#2,g5.24xlarge#3,g5.24xlarge#4,g5.24xlarge#5,g5.24xlarge#6,g5.24xlarge#7",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g5.24xlarge#0:4}, PP_2:{g5.24xlarge#1:4}, PP_3:{g5.24xlarge#2:4}, PP_4:{g5.24xlarge#3:4}, PP_5:{g5.24xlarge#4:4}, PP_6:{g5.24xlarge#5:4}, PP_7:{g5.24xlarge#6:4}, PP_8:{g5.24xlarge#7:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.16,810.95,720.84,90.11,65.16,22.319598,0.34,22.32,8,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2,g5.48xlarge#3",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g5.48xlarge#0:4}, PP_2:{g5.48xlarge#0:4}, PP_3:{g5.48xlarge#1:4}, PP_4:{g5.48xlarge#1:4}, PP_5:{g5.48xlarge#2:4}, PP_6:{g5.48xlarge#2:4}, PP_7:{g5.48xlarge#3:4}, PP_8:{g5.48xlarge#3:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,130.32,1410.62,1253.88,156.74,130.32,25.662555,0.20,25.66,8,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2,g5.48xlarge#3,g5.48xlarge#4,g5.48xlarge#5,g5.48xlarge#6,g5.48xlarge#7",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g5.48xlarge#0:8}, PP_2:{g5.48xlarge#1:8}, PP_3:{g5.48xlarge#2:8}, PP_4:{g5.48xlarge#3:8}, PP_5:{g5.48xlarge#4:8}, PP_6:{g5.48xlarge#5:8}, PP_7:{g5.48xlarge#6:8}, PP_8:{g5.48xlarge#7:8}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8, PP_5:8, PP_6:8, PP_7:8, PP_8:8}",64,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,62.42,635.53,564.92,70.61,62.42,27.282455,0.44,27.28,4,"p3dn.24xlarge#0,p3dn.24xlarge#1",4,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0}","{PP_1:{p3dn.24xlarge#0:4}, PP_2:{p3dn.24xlarge#0:4}, PP_3:{p3dn.24xlarge#1:4}, PP_4:{p3dn.24xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,62.42,429.01,381.34,47.67,62.42,40.416112,0.65,40.42,8,"p3dn.24xlarge#0,p3dn.24xlarge#1",8,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0, PP_5:32.0, PP_6:32.0, PP_7:32.0, PP_8:32.0}","{PP_1:{p3dn.24xlarge#0:2}, PP_2:{p3dn.24xlarge#0:2}, PP_3:{p3dn.24xlarge#0:2}, PP_4:{p3dn.24xlarge#0:2}, PP_5:{p3dn.24xlarge#1:2}, PP_6:{p3dn.24xlarge#1:2}, PP_7:{p3dn.24xlarge#1:2}, PP_8:{p3dn.24xlarge#1:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
